set,row,w1,w2,w3,w4
4,0,0.170435,0.266839,0.285132,0.277593,
4,1,0.171585,0.212138,0.347693,0.268584,
4,2,0.266406,0.125003,0.326500,0.282091,
4,3,0.222647,0.136595,0.280334,0.360423,
4,4,0.226474,0.122891,0.323919,0.326716,
4,5,0.265374,0.136421,0.277075,0.321130,
4,6,0.241148,0.182217,0.283661,0.292974,
4,7,0.181779,0.235788,0.348772,0.233662,
4,8,0.255346,0.224286,0.293664,0.226703,
4,9,0.236478,0.215687,0.282255,0.265580,
4,10,0.198658,0.251965,0.255340,0.294037,
4,11,0.322726,0.223135,0.217302,0.236837,
4,12,0.256228,0.157171,0.306317,0.280284,
4,13,0.177720,0.251116,0.312673,0.258491,
4,14,0.211875,0.185829,0.326763,0.275533,
4,15,0.179432,0.149476,0.300873,0.370219,
4,16,0.209489,0.198235,0.280675,0.311600,
4,17,0.215350,0.226410,0.319769,0.238471,
4,18,0.143247,0.249319,0.234976,0.372459,
4,19,0.212758,0.292147,0.246091,0.249004,
4,20,0.209743,0.195870,0.297996,0.296391,
4,21,0.201491,0.221508,0.318463,0.258538,
4,22,0.229289,0.293899,0.270907,0.205905,
4,23,0.176827,0.146606,0.284898,0.391669,
4,24,0.178164,0.192403,0.308092,0.321340,
4,25,0.173824,0.291139,0.281697,0.253340,
4,26,0.192600,0.161666,0.267634,0.378100,
4,27,0.280898,0.119556,0.306989,0.292557,
4,28,0.174187,0.263922,0.279402,0.282489,
4,29,0.288538,0.147024,0.249187,0.315251,
4,30,0.261785,0.152553,0.252618,0.333044,
4,31,0.234400,0.166225,0.247282,0.352093,
4,32,0.146837,0.228982,0.367438,0.256743,
4,33,0.154806,0.191801,0.385176,0.268217,
4,34,0.247404,0.213057,0.245234,0.294304,
4,35,0.185868,0.140408,0.396705,0.277019,
4,36,0.201282,0.229151,0.311871,0.257696,
4,37,0.252990,0.155672,0.215821,0.375517,
4,38,0.206830,0.224363,0.304867,0.263940,
4,39,0.228035,0.179045,0.257047,0.335873,
4,40,0.274169,0.202851,0.237177,0.285804,
4,41,0.203234,0.225775,0.323524,0.247466,
4,42,0.281775,0.196462,0.264162,0.257601,
4,43,0.216521,0.184329,0.294367,0.304783,
4,44,0.234584,0.158436,0.288042,0.318938,
4,45,0.221536,0.163746,0.269959,0.344759,
4,46,0.145182,0.164416,0.269109,0.421293,
4,47,0.278514,0.142719,0.264199,0.314568,
4,48,0.207895,0.219993,0.280584,0.291528,
4,49,0.179237,0.134403,0.416299,0.270061,
4,50,0.256488,0.103244,0.309692,0.330577,
4,51,0.234246,0.231537,0.293951,0.240265,
4,52,0.162183,0.275456,0.316366,0.245994,
4,53,0.190982,0.264793,0.216677,0.327548,
4,54,0.175703,0.261864,0.313302,0.249130,
4,55,0.177887,0.282628,0.282429,0.257056,
4,56,0.227121,0.207085,0.279783,0.286010,
4,57,0.222538,0.116599,0.353945,0.306918,
4,58,0.165896,0.246959,0.287674,0.299470,
4,59,0.187857,0.197193,0.340025,0.274924,
4,60,0.205299,0.196536,0.344054,0.254111,
4,61,0.157873,0.312886,0.236309,0.292933,
4,62,0.361380,0.103160,0.290534,0.244926,
4,63,0.259692,0.136202,0.287346,0.316760,
4,64,0.252535,0.250141,0.272289,0.225034,
4,65,0.210882,0.194341,0.290067,0.304710,
4,66,0.179675,0.264303,0.275118,0.280905,
4,67,0.161717,0.274326,0.318007,0.245950,
4,68,0.187391,0.283393,0.289162,0.240053,
4,69,0.192626,0.225834,0.269321,0.312218,
4,70,0.253530,0.179871,0.282717,0.283882,
4,71,0.216017,0.212205,0.285243,0.286534,
4,72,0.325828,0.117989,0.298358,0.257825,
4,73,0.239056,0.171834,0.309833,0.279277,
4,74,0.238935,0.160278,0.286685,0.314102,
4,75,0.220938,0.213646,0.279241,0.286175,
4,76,0.245176,0.225564,0.223755,0.305506,
4,77,0.177889,0.178562,0.274900,0.368649,
4,78,0.168236,0.276887,0.252804,0.302073,
4,79,0.208513,0.186709,0.277767,0.327011,
4,80,0.293531,0.144687,0.259985,0.301797,
4,81,0.221957,0.238963,0.211273,0.327808,
4,82,0.247887,0.154590,0.266226,0.331297,
4,83,0.158110,0.253519,0.321498,0.266874,
